"P1_S1","P1_S2","P1_S3","P1_S4","P2_S1","P2_S2","P2_S3","P2_S4","P3_S1","P3_S2","P3_S3","P3_S4"
0.3,0.038,0.393,0.377,0.3,0.038,0.393,0.377,0.0,0.0,0.2055,0.1771
0.304,0.041,0.405,0.359,0.304,0.041,0.405,0.359,0.0,0.0,0.2461,0.1271
0.32,0.047,0.416,0.318,0.32,0.047,0.416,0.318,0.0,0.0,0.2864,0.0724
0.343,0.054,0.421,0.283,0.343,0.054,0.421,0.283,0.0,0.0027,0.3221,0.0223
0.396,0.056,0.431,0.247,0.396,0.056,0.431,0.247,0.0,0.0383,0.3943,0.0026
0.418,0.067,0.446,0.223,0.418,0.067,0.446,0.223,0.0,0.1232,0.4223,0.0
0.441,0.084,0.457,0.205,0.441,0.084,0.457,0.205,0.0,0.2288,0.4261,0.0
0.471,0.109,0.45,0.187,0.471,0.109,0.45,0.187,0.0,0.3353,0.3551,0.0
0.508,0.124,0.425,0.17,0.508,0.124,0.425,0.17,0.0,0.4216,0.3194,0.0
0.536,0.129,0.385,0.157,0.536,0.129,0.385,0.157,0.0,0.4408,0.2461,0.0
0.567,0.124,0.326,0.143,0.567,0.124,0.326,0.143,0.0,0.4525,0.1468,0.0
0.598,0.12,0.271,0.134,0.598,0.12,0.271,0.134,0.0014,0.4125,0.0655,0.0
0.632,0.117,0.226,0.122,0.632,0.117,0.226,0.122,0.007,0.3504,0.0158,0.0
0.669,0.119,0.2,0.115,0.669,0.119,0.2,0.115,0.0245,0.2847,0.0014,0.0
0.706,0.114,0.185,0.109,0.706,0.114,0.185,0.109,0.0427,0.2044,0.0,0.0
0.741,0.102,0.17,0.102,0.741,0.102,0.17,0.102,0.0505,0.1161,0.0,0.0
0.771,0.094,0.169,0.086,0.771,0.094,0.169,0.086,0.0525,0.0383,0.0,0.0055
0.789,0.094,0.168,0.076,0.789,0.094,0.168,0.076,0.0434,0.0049,0.0,0.0572
0.798,0.095,0.16,0.069,0.798,0.095,0.16,0.069,0.0297,0.0,0.0,0.1577
0.806,0.092,0.149,0.073,0.806,0.092,0.149,0.073,0.0135,0.0,0.0001,0.2675
0.817,0.09,0.142,0.076,0.817,0.09,0.142,0.076,0.0026,0.0,0.0129,0.3568
0.834,0.101,0.138,0.075,0.834,0.101,0.138,0.075,0.0,0.0,0.0795,0.4075
0.845,0.098,0.132,0.074,0.845,0.098,0.132,0.074,0.0,0.0,0.1796,0.3579
0.828,0.09,0.126,0.072,0.828,0.09,0.126,0.072,0.0,0.0,0.3116,0.2944
0.795,0.08,0.115,0.069,0.795,0.08,0.115,0.069,0.0,0.0,0.4423,0.2157
0.761,0.08,0.109,0.063,0.761,0.08,0.109,0.063,0.0,0.0,0.5495,0.1509
0.724,0.078,0.106,0.06,0.724,0.078,0.106,0.06,0.0,0.0,0.5958,0.0823
0.691,0.076,0.109,0.065,0.691,0.076,0.109,0.065,0.0,0.0036,0.6639,0.0223
0.681,0.067,0.109,0.062,0.681,0.067,0.109,0.062,0.0,0.0405,0.7092,0.0021
0.672,0.064,0.109,0.064,0.672,0.064,0.109,0.064,0.0,0.1238,0.6751,0.0
0.648,0.069,0.112,0.068,0.648,0.069,0.112,0.068,0.0,0.23,0.6466,0.0
0.612,0.086,0.115,0.071,0.612,0.086,0.115,0.071,0.0,0.3319,0.572,0.0
0.568,0.11,0.113,0.075,0.568,0.11,0.113,0.075,0.0,0.4213,0.4728,0.0
0.55,0.138,0.106,0.088,0.55,0.138,0.106,0.088,0.0,0.4732,0.3329,0.0
0.513,0.158,0.089,0.087,0.513,0.158,0.089,0.087,0.0,0.4838,0.205,0.0
0.5,0.173,0.076,0.085,0.5,0.173,0.076,0.085,0.0001,0.4471,0.0918,0.0
0.509,0.183,0.071,0.08,0.509,0.183,0.071,0.08,0.0002,0.397,0.0194,0.0
0.493,0.183,0.074,0.084,0.493,0.183,0.074,0.084,0.0055,0.3287,0.0012,0.0
0.499,0.163,0.08,0.089,0.499,0.163,0.08,0.089,0.0245,0.2325,0.0,0.0
0.518,0.137,0.101,0.093,0.518,0.137,0.101,0.093,0.0655,0.131,0.0,0.0
0.534,0.119,0.111,0.082,0.534,0.119,0.111,0.082,0.1101,0.045,0.0,0.0052
0.54,0.113,0.118,0.078,0.54,0.113,0.118,0.078,0.1247,0.0062,0.0,0.0548
0.533,0.111,0.121,0.076,0.533,0.111,0.121,0.076,0.0935,0.0,0.0,0.1497
0.512,0.112,0.131,0.082,0.512,0.112,0.131,0.082,0.0438,0.0,0.0,0.2603
0.489,0.113,0.14,0.088,0.489,0.113,0.14,0.088,0.0087,0.0,0.0126,0.3462
0.478,0.117,0.15,0.092,0.478,0.117,0.15,0.092,0.0,0.0,0.0728,0.396
0.51,0.113,0.149,0.091,0.51,0.113,0.149,0.091,0.0,0.0,0.1671,0.3763
0.551,0.113,0.162,0.088,0.551,0.113,0.162,0.088,0.0,0.0,0.2937,0.3255
0.598,0.112,0.18,0.085,0.598,0.112,0.18,0.085,0.0,0.0,0.4342,0.2537
0.667,0.128,0.21,0.082,0.667,0.128,0.21,0.082,0.0,0.0,0.5384,0.1701
0.734,0.147,0.236,0.08,0.734,0.147,0.236,0.08,0.0,0.0,0.6484,0.0815
0.704,0.165,0.258,0.081,0.704,0.165,0.258,0.081,0.0,0.0045,0.7167,0.0189
0.792,0.164,0.272,0.076,0.792,0.164,0.272,0.076,0.0,0.0451,0.7435,0.0014
0.84,0.174,0.279,0.075,0.84,0.174,0.279,0.075,0.0,0.1232,0.7273,0.0
0.765,0.191,0.286,0.075,0.765,0.191,0.286,0.075,0.0,0.2069,0.6546,0.0
0.722,0.233,0.288,0.075,0.722,0.233,0.288,0.075,0.0,0.2788,0.5326,0.0
0.753,0.291,0.275,0.075,0.753,0.291,0.275,0.075,0.0,0.3236,0.37,0.0
