"P_S1","P_S2","P_S3","P_S4"
34359.0,33614.0,30058.0,24772.0
41696.0,33113.0,29194.0,24346.0
43541.0,33007.0,29109.0,23589.0
44419.0,34208.0,28063.0,22974.0
44430.0,35501.0,24684.0,23344.0
44251.0,35619.0,22072.0,25688.0
43702.0,35325.0,20686.0,29329.0
42989.0,35992.0,19692.0,32501.0
42674.0,34555.0,19169.0,34417.0
43129.0,31171.0,18730.0,34510.0
46434.0,27516.0,18535.0,34004.0
48577.0,24813.0,20123.0,33434.0
48188.0,24279.0,22598.0,32766.0
46019.0,23757.0,24947.0,32414.0
43005.0,23061.0,26208.0,32636.0
39406.0,22576.0,26105.0,33972.0
35825.0,22889.0,25790.0,36275.0
32454.0,24315.0,25264.0,38776.0
31376.0,27367.0,24634.0,37761.0
30571.0,29559.0,24149.0,35242.0
29590.0,30145.0,24189.0,32710.0
28461.0,29310.0,25570.0,29930.0
27594.0,28467.0,27256.0,26798.0
27701.0,27696.0,28018.0,24510.0
29775.0,26511.0,27987.0,24345.0
32938.0,25597.0,27674.0,23937.0
36511.0,25460.0,27954.0,23114.0
39638.0,26777.0,27160.0,22470.0
40729.0,29143.0,24673.0,22553.0
40615.0,30613.0,22362.0,23905.0
40105.0,31258.0,21076.0,26094.0
39371.0,32652.0,20222.0,28853.0
39215.0,32168.0,19699.0,31642.0
39885.0,29669.0,19372.0,33168.0
42767.0,26569.0,18889.0,33705.0
46426.0,24208.0,19527.0,33874.0
45644.0,23876.0,21018.0,33363.0
42902.0,23541.0,23044.0,33039.0
40245.0,22805.0,24815.0,33766.0
37490.0,22326.0,25830.0,35594.0
34969.0,22155.0,26095.0,37619.0
32184.0,22605.0,25832.0,40074.0
31347.0,24524.0,24722.0,38654.0
30528.0,26742.0,23833.0,36169.0
29379.0,28718.0,23924.0,33407.0
28392.0,29889.0,25206.0,29874.0
27292.0,30375.0,26921.0,25933.0
27002.0,30639.0,28186.0,23692.0
28040.0,29930.0,28954.0,23912.0
29515.0,29338.0,28846.0,23955.0
32498.0,29341.0,29185.0,23397.0
36174.0,30603.0,28342.0,23237.0
38256.0,32201.0,25040.0,24913.0
39118.0,33041.0,22514.0,30945.0
39642.0,33695.0,21546.0,37924.0
39351.0,35080.0,20986.0,39673.0
39378.0,33746.0,20715.0,40099.0
40236.0,30446.0,20726.0,39731.0
43639.0,26411.0,21310.0,39479.0
47063.0,23965.0,25342.0,39040.0
45962.0,24157.0,30428.0,38307.0
43731.0,24304.0,33481.0,38135.0
41291.0,23874.0,34401.0,38341.0
38207.0,23819.0,34232.0,40418.0
34450.0,25228.0,34336.0,42924.0
30549.0,30093.0,34705.0,45090.0
30034.0,35939.0,34468.0,43780.0
29847.0,37010.0,34097.0,40775.0
29083.0,36580.0,34223.0,36915.0
28635.0,35626.0,35005.0,32440.0
28317.0,35084.0,35380.0,27939.0
29994.0,34068.0,34588.0,25255.0
36328.0,33205.0,33437.0,25413.0
43921.0,32712.0,32024.0,25224.0
45891.0,32836.0,31322.0,24647.0
46904.0,34523.0,29216.0,24357.0
46789.0,36149.0,25107.0,25823.0
46500.0,36545.0,22343.0,31444.0
46475.0,36633.0,21315.0,38508.0
46192.0,37752.0,20601.0,39673.0
46251.0,36546.0,20275.0,38980.0
46954.0,32273.0,20340.0,37858.0
49754.0,27867.0,20978.0,36854.0
51568.0,25219.0,24931.0,36252.0
50538.0,25040.0,29426.0,35580.0
49225.0,24921.0,31891.0,35709.0
46479.0,24497.0,32334.0,36501.0
42323.0,24320.0,32253.0,38995.0
37922.0,25563.0,32404.0,41429.0
33650.0,30129.0,32483.0,44380.0
32858.0,35620.0,32045.0,43172.0
32506.0,36273.0,31837.0,40059.0
31768.0,35260.0,32187.0,36293.0
31144.0,33855.0,33229.0,31540.0
30586.0,33182.0,34117.0,26877.0
31904.0,32775.0,33823.0,24132.0
37848.0,32115.0,33353.0,24018.0
45103.0,31712.0,32705.0,23640.0
46706.0,31896.0,32480.0,22835.0
47552.0,33757.0,30589.0,22520.0
47443.0,35251.0,26605.0,23945.0
47113.0,35759.0,23836.0,29531.0
46813.0,35920.0,22816.0,36782.0
46418.0,37086.0,22095.0,38633.0
46308.0,36027.0,21811.0,39194.0
46991.0,31950.0,21857.0,39768.0
49696.0,27576.0,22503.0,39749.0
51154.0,24869.0,26341.0,39267.0
50853.0,24755.0,30779.0,38591.0
49460.0,24522.0,33477.0,38027.0
46441.0,24063.0,34357.0,38242.0
42150.0,23955.0,34485.0,40259.0
37548.0,25156.0,34656.0,42162.0
33054.0,29747.0,34402.0,43696.0
32160.0,35321.0,34005.0,42055.0
31895.0,35957.0,33636.0,39203.0
31141.0,35053.0,33491.0,35444.0
30404.0,34024.0,34067.0,30892.0
29918.0,33653.0,34573.0,26184.0
31187.0,33359.0,34035.0,23382.0
37033.0,32785.0,33288.0,23264.0
44375.0,32611.0,32248.0,22917.0
46230.0,32997.0,31967.0,22195.0
47394.0,34832.0,30216.0,21779.0
47945.0,36014.0,26373.0,23266.0
48128.0,36266.0,23437.0,28854.0
48274.0,36113.0,22314.0,35738.0
48111.0,36903.0,21566.0,37154.0
47985.0,36027.0,21277.0,37104.0
48251.0,32057.0,21148.0,36531.0
50492.0,27770.0,21506.0,36403.0
51555.0,25101.0,25219.0,36079.0
50997.0,24970.0,29601.0,35559.0
49739.0,24767.0,32366.0,35338.0
46705.0,24245.0,33204.0,35463.0
